Image Link,Name,Location,Type,Avg Cost,Area,Rooms,Description,Page No
https://mediacdn.99acres.com/media1/17280/17/345617832M-1645274475618.jpg,43 Privet Drive1.9 ★,Balewadi,Apartment,"₹ 89 L₹ 11,395/sq.ft.",781 sq.ft. (73 sq.m.) Carpet Area,2 BHK2 Baths,"43 Privet Drive offers 2 BHK flats in Balewadi, Pune. These are an under construction flats. There are a total of 5 towers in the project. The project is a nicely designed and offers an excellent infrastructure to the residents. It spreads across a carpet area of 781.0 sq. ft. You can now get it for Rs. 89 Lac. 43 Privet Drive offers inclusion of essential amenities like Car Parking, Piped Gas,...more",57
https://mediacdn.99acres.com/media1/17280/16/345616050M-1645274228602.jpg,Tej Elevia,Baner,Apartment,"₹ 1.35 Cr₹ 13,600/sq.ft.",993 sq.ft. (92 sq.m.) Carpet Area,3 BHK,"Live in a world of comfort and style at Tej Elevia located in Baner, Pune. Book your 3 BHK apartment now. Sprawling across a carpet area of 993.0 sq. ft, it is an under construction property available for Rs. 1.35 Crore. The project has 2 towers, each of them with aesthetically crafted interiors as well as exteriors The project has the latest Fire Fighting Systems, an exclusive Entrance Lobby, ...more",57
https://mediacdn.99acres.com/media1/17280/16/345616030M-1645274264840.jpg,Tej Elevia,Baner,Apartment,"₹ 91.05 L₹ 13,370/sq.ft.",681 sq.ft. (63 sq.m.) Carpet Area,2 BHK,"Make Tej Elevia your next home. Book your 2 BHK flat in Baner, Pune. With a carpet area of 681.0 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 2 BHK flat for Rs. 91.05 Lac. It is an under construction property which is unique in its perfect harmony of classic form and modern constru...more",57
https://mediacdn.99acres.com/media1/17280/14/345614786M-1645274061993.jpg,Gagan Klara,Balewadi,Apartment,"₹ 97.4 L₹ 10,003/sq.ft.",973 sq.ft. (90 sq.m.) Carpet Area,3 BHK,"Make Gagan Klara your next home. Book your 3 BHK flat in Balewadi, Pune. With a carpet area of 973.59 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 3 BHK flat for Rs. 97.4 Lac. It is a new launch property which is unique in its perfect harmony of classic form and modern construction...more",57
https://mediacdn.99acres.com/media1/17280/14/345614782M-1645274061962.jpg,Gagan Klara,Balewadi,Apartment,"₹ 72.68 L₹ 10,821/sq.ft.",671 sq.ft. (62 sq.m.) Carpet Area,2 BHK2 Baths,"Book your 2 BHK apartment in Gagan Klara, Balewadi, Pune. Having a carpet area of 671.67 sq. ft., the property is well ventilated and promises an exclusive view and refreshing vibes. The project is a superbly designed project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities that include Volley Ball Court, InterCom, 24/7 ...more",57
https://mediacdn.99acres.com/media1/17280/12/345612162M-1645273170221.jpg,Bharat The Province,Punawale,Apartment,"₹ 85 L₹ 9,159/sq.ft.",928 sq.ft. (86 sq.m.) Carpet Area,3 BHK3 Baths,"Enjoy a blissful living experience in Bharat The Province. This residential project encompasses 3 BHK apartments in Punawale, Pune and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle. Its unique highlights include facilities like Garbage Disposal, Children's Play Area, Video Door Security, Earthquake Resistant, Fire Fighting Systems and many others. All of ...more",57
https://mediacdn.99acres.com/media1/17280/12/345612158M-1645273169780.jpg,Bharat The Province,Punawale,Apartment,"₹ 51.01 L₹ 9,243/sq.ft.",551 sq.ft. (51 sq.m.) Carpet Area,2 BHK,"Let your dream of owning a flat come true with Bharat The Province. It offers an exclusive range of 2 BHK flats in Punawale, Pune. We bring you an amazing deal of a 2 BHK that is currently available at price of Rs. 51.01 Lac and has a carpet area of 551.87 sq. ft. Bharat The Province is a secured gated community that further has 24x7 security systems. It has round the clock power back up as wel...more",57
https://mediacdn.99acres.com/media1/17280/9/345609896M-1645272584215.jpg,Rohan Ananta,Tathawade,Apartment,"₹ 60.87 L₹ 9,335/sq.ft.",652 sq.ft. (61 sq.m.) Carpet Area,2 BHK2 Baths,"Experience a new style of living with Rohan Ananta. It offers an exclusive range of 2 BHK apartments in Tathawade, Pune. Here is a steal deal for you. Book your 2 BHK apartment here at a never before price of Rs. 60.87 Lac. The unit has a carpet area of 652.0 sq. ft. This is an under construction project. It has been designed keeping every small to large needs of residents in consideration. Plu...more",57
https://mediacdn.99acres.com/media1/17280/9/345609876M-1645272583531.jpg,Rohan Ananta,Tathawade,Apartment,"₹ 38.35 L₹ 9,330/sq.ft.",411 sq.ft. (38 sq.m.) Carpet Area,1 BHK1 Bath,"Make Rohan Ananta your next home. Book your 1 BHK flat in Tathawade, Pune. With a carpet area of 411.0 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 1 BHK flat for Rs. 38.35 Lac. It is an under construction property which is unique in its perfect harmony of classic form and modern c...more",57
https://mediacdn.99acres.com/media1/17275/15/345515044M-1645247260456.jpg,Majestique Signature Towers,Balewadi,Apartment,"₹ 90.58 L₹ 10,464/sq.ft.",865 sq.ft. (80 sq.m.) Carpet Area,3 BHK3 Baths,"There is a 3 BHK apartment in Balewadi, Pune for sale in Majestique Signature Towers. With a carpet area of 865.63 sq. ft, the residential apartment is available at a price of Rs. 90.58 Lac. Majestique Signature Towers is meticulously designed to bring you an awe-inspiring lifestyle and convenience. It hosts a series of facilities like a Car Parking, Paved Compound, Club House, Sewage Treatment...more",57
https://mediacdn.99acres.com/media1/17275/14/345514996M-1645247225645.jpg,Majestique Signature Towers,Balewadi,Apartment,"₹ 70 L₹ 10,443/sq.ft.",670 sq.ft. (62 sq.m.) Carpet Area,2 BHK2 Baths,"Majestique Signature Towers is a residential project, offering a range of 2 BHK flats in Balewadi, Pune. It hosts exclusively designed 4 towers, each presenting an epitome of class and simplicity. We bring you a chance to book your 2 BHK flat that has a carpet area of 670.27 sq. ft. It is an under construction property. With an impressive layout and a comprehensive range of amenities like Open ...more",57
https://mediacdn.99acres.com/media1/17275/14/345514746M-1645247074493.jpg,Supreme Estia,Baner,Apartment,"₹ 1.56 Cr₹ 15,000/sq.ft.","1,040 sq.ft. (97 sq.m.) Carpet Area",3 BHK3 Baths,"Supreme Estia is an under construction project, offering a great 3 BHK flat in Baner, Pune. The unit has a carpet area of 1040.0 sq. ft. and is available at a price of Rs. 1.56 Crore. Supreme Estia is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Basketball Court, Lift(s), Club House, Power Back up Lift, Sewag...more",57
https://mediacdn.99acres.com/media1/17275/14/345514742M-1645247074482.jpg,Supreme Estia,Baner,Apartment,"₹ 99 L₹ 13,561/sq.ft.",730 sq.ft. (68 sq.m.) Carpet Area,2 BHK2 Baths,"Live in a world of comfort and style at Supreme Estia located in Baner, Pune. Book your 2 BHK apartment now. Sprawling across a carpet area of 730.0 sq. ft, it is an under construction property available for Rs. 99 Lac. The project has 5 towers, each of them with aesthetically crafted interiors as well as exteriors The project has the latest Fire Fighting Systems, an exclusive Toddler Pool, Ent...more",57
https://mediacdn.99acres.com/media1/17275/14/345514370M-1645246887641.jpg,Kunal Aspiree4.5 ★,Balewadi,Apartment,"₹ 3.05 Cr₹ 18,033/sq.ft.","1,689 sq.ft. (157 sq.m.) Carpet Area",4 BHK,"Make Kunal Aspiree your next home. Book your 4 BHK flat in Balewadi, Pune. With a carpet area of 1689.0 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 4 BHK flat for Rs. 3.05 Crore. It is an under construction property which is unique in its perfect harmony of classic form and modern...more",57
https://mediacdn.99acres.com/media1/17275/14/345514368M-1645246887531.jpg,Kunal Aspiree4.5 ★,Balewadi,Apartment,"₹ 1.65 Cr₹ 18,015/sq.ft.",915 sq.ft. (85 sq.m.) Carpet Area,3 BHK3 Baths,"Book your 3 BHK flat in Balewadi, Pune with Kunal Aspiree. It has a carpet area of 915.9 sq. ft. and is available at a price of Rs. 1.65 Crore.

It is an under construction property. Kunal Aspiree has 6 towers and features an array of facilities including a Water Softener Plant, Cricket Pitch, Sewage Treatment Plant, Piped Gas and Jogging Track. Lifts are available too.more",58
https://mediacdn.99acres.com/media1/17267/18/345358970M-1645170704701.jpg,ANP Atlantis,Balewadi,Apartment,"₹ 1.25 Cr₹ 10,667/sq.ft.","1,171 sq.ft. (109 sq.m.) Carpet Area",3 BHK,"Let your dream of owning a flat come true with ANP Atlantis. It offers an exclusive range of 3 BHK flats in Balewadi, Pune. We bring you an amazing deal of a 3 BHK that is currently available at price of Rs. 1.25 Crore and has a carpet area of 1171.76 sq. ft. ANP Atlantis is a secured gated community that further has 24x7 security systems. It has round the clock power back up as well as feature...more",58
https://mediacdn.99acres.com/media1/17267/18/345358964M-1645170704458.jpg,ANP Atlantis,Balewadi,Apartment,"₹ 73 L₹ 10,671/sq.ft.",684 sq.ft. (64 sq.m.) Carpet Area,2 BHK,"Book your 2 BHK apartment in ANP Atlantis, Balewadi, Pune. Having a carpet area of 684.05 sq. ft., the property is well ventilated and promises an exclusive view and refreshing vibes. The project is a superbly designed project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities that include Children's Play Area, Mini Theatr...more",58
https://mediacdn.99acres.com/media1/17267/15/345355842M-1645169936974.jpg,Lodha Belmondo4.3 ★,Pune Mumbai Highway,Apartment,"₹ 1.32 Cr₹ 11,051/sq.ft.","1,195 sq.ft. (111 sq.m.) Carpet Area",3 BHK3 Baths,"Lodha Belmondo is a residential project, offering a range of 3 BHK flats in Pune Mumbai Highway, Pune. It hosts exclusively designed 25 towers, each presenting an epitome of class and simplicity. We bring you a chance to book your 3 BHK flat that has a carpet area of 1195.43 sq. ft. It is an under construction property. With an impressive layout and a comprehensive range of amenities like Rain ...more",58
